id,name,content_type_id,codename
1,"Can add log entry",1,"add_logentry"
2,"Can change log entry",1,"change_logentry"
3,"Can delete log entry",1,"delete_logentry"
4,"Can view log entry",1,"view_logentry"
5,"Can add permission",2,"add_permission"
6,"Can change permission",2,"change_permission"
7,"Can delete permission",2,"delete_permission"
8,"Can view permission",2,"view_permission"
9,"Can add group",3,"add_group"
10,"Can change group",3,"change_group"
11,"Can delete group",3,"delete_group"
12,"Can view group",3,"view_group"
13,"Can add user",4,"add_user"
14,"Can change user",4,"change_user"
15,"Can delete user",4,"delete_user"
16,"Can view user",4,"view_user"
17,"Can add content type",5,"add_contenttype"
18,"Can change content type",5,"change_contenttype"
19,"Can delete content type",5,"delete_contenttype"
20,"Can view content type",5,"view_contenttype"
21,"Can add session",6,"add_session"
22,"Can change session",6,"change_session"
23,"Can delete session",6,"delete_session"
24,"Can view session",6,"view_session"
25,"Can add donator",7,"add_donators"
26,"Can change donator",7,"change_donators"
27,"Can delete donator",7,"delete_donators"
28,"Can view donator",7,"view_donators"
29,"Can add sag",8,"add_files"
30,"Can change sag",8,"change_files"
31,"Can delete sag",8,"delete_files"
32,"Can view sag",8,"view_files"
33,"Can add billede",9,"add_pictures"
34,"Can change billede",9,"change_pictures"
35,"Can delete billede",9,"delete_pictures"
36,"Can view billede",9,"view_pictures"
37,"Can add producent","10","add_producers"
38,"Can change producent","10","change_producers"
39,"Can delete producent","10","delete_producers"
40,"Can view producent","10","view_producers"
41,"Can add sted","11","add_sted"
42,"Can change sted","11","change_sted"
43,"Can delete sted","11","delete_sted"
44,"Can view sted","11","view_sted"
45,"Can add emnegruppe","12","add_subjects"
46,"Can change emnegruppe","12","change_subjects"
47,"Can delete emnegruppe","12","delete_subjects"
48,"Can view emnegruppe","12","view_subjects"
49,"Can add genstand","13","add_items"
50,"Can change genstand","13","change_items"
51,"Can delete genstand","13","delete_items"
52,"Can view genstand","13","view_items"
